"","RNA_Name","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss"
"9185","ZCCHC10","ZCCHC10..54819.",0.00792376752615898,0.245307161893467,7.44016975420791e-09,-0.358057187744056,3.43779922642211e-08,0.603364349637523,"sp.Q8TBK6.ZCH10_HUMAN",0.733234263557546,-0.0472791020452415,0.479738211969013,0.117150831529233,0.40081100382875,-0.164429933574475
"9186","ZCCHC14","ZCCHC14..23174.",0.0159526708240333,0.373851366434145,0.00297079990973728,-0.284306078000458,0.00011605532898373,0.658157444434602,"sp.Q8WYQ9.ZCH14_HUMAN",0.841820418646349,0.0541033965536036,0.122345487201302,-0.181638328863592,0.403504042376151,0.235741725417196
"9187","ZCCHC17","ZCCHC17..51538.",2.63263734038945e-07,0.520470301524533,4.42828813505133e-07,-0.36490797568162,2.67109003190344e-13,0.885378277206152,"sp.Q9NP64.NO40_HUMAN",2.78995048470986e-05,0.589751340644376,0.106942665400905,-0.121147910748802,2.81898434737879e-06,0.710899251393177
"9188","ZCCHC24","ZCCHC24..219654.",0.980416286174207,0.00696485729984309,0.259194885332161,0.176940037223533,0.572458553453222,-0.16997517992369,"sp.Q8N2G6.ZCH24_HUMAN",0.479379211176759,0.24387465255176,0.169927015820927,0.259592949377581,0.965006984662591,-0.0157182968258213
"9189","ZCCHC3","ZCCHC3..85364.",0.0334152348948281,0.166926122424412,2.31587140449908e-12,-0.665722277373999,1.27960629528818e-15,0.832648399798411,"sp.Q9NUD5.ZCHC3_HUMAN",0.0239944306524418,0.217705053427056,0.00122965782651771,-0.388829993395442,1.91114433545003e-06,0.606535046822499
"9190","ZCCHC4","ZCCHC4..29063.",0.0615199844018286,0.259475245201256,1.30993797710419e-19,-0.478711928522009,2.10526870189783e-05,0.738187173723265,"sp.Q9H5U6.ZCHC4_HUMAN",0.0735789233620954,0.251571736282829,7.90174803856345e-06,-0.378467817548889,0.000269301466807155,0.630039553831718
"9191","ZCCHC7","ZCCHC7..84186.",0.295719358666987,0.162841767377543,1.05476280181386e-08,-0.566476376709231,7.45958591830851e-06,0.729318144086774,"sp.Q8N3Z6.ZCHC7_HUMAN",0.0448897614160026,0.237406828562407,0.00625177166607767,-0.178403518460959,0.00076743926425138,0.415810347023366
"9192","ZCCHC8","ZCCHC8..55596.",0.692767253092548,0.0374068114744546,5.90379763011686e-05,-0.310883340515405,0.00261793087389807,0.348290151989859,"sp.Q6NZY4.ZCHC8_HUMAN",0.0249652755619113,0.235309934741766,0.286486336056092,-0.0915639571408511,0.00860061916991201,0.326873891882617
"9193","ZCCHC9","ZCCHC9..84240.",0.00080214704838295,0.352638668839662,0.000187137074665286,-0.27063936524629,3.05391380249963e-07,0.623278034085952,"sp.Q8N567.ZCHC9_HUMAN",0.998367555720097,-0.000245319040105205,0.107412567060332,-0.140449583730599,0.311858735822992,0.140204264690494
"9194","ZCRB1","ZCRB1..85437.",0.0168464176785578,0.27974425937072,0.132563472665353,-0.134590616485759,0.00319469532972592,0.414334875856479,"sp.Q8TBF4.ZCRB1_HUMAN",0.0145161848135428,0.221889002147109,0.877490924135921,-0.0108644043245699,0.0208460738201677,0.232753406471679
"9195","ZDBF2","ZDBF2..57683.",0.148470113282549,0.268889653273128,0.705092457756497,-0.0477718598668666,0.125552662016164,0.316661513139995,"sp.Q9HCK1.ZDBF2_HUMAN",0.328171308820819,0.231756608117964,0.17401406729585,0.248286499570461,0.949252300541405,-0.0165298914524965
"9196","ZDHHC13","ZDHHC13..54503.",0.00135729633162844,0.430808155300927,4.19806800743353e-06,-0.419275866272308,5.36291341038601e-08,0.850084021573235,"sp.Q8IUH4.ZDH13_HUMAN",0.00436984985862365,0.368568721069541,0.237714482362229,-0.117346595328233,0.000580241282571778,0.485915316397774
"9197","ZDHHC17","ZDHHC17..23390.",0.144786393216503,0.179866938893032,4.7474215318378e-07,-0.485553298533463,1.197151109141e-05,0.665420237426495,"sp.Q8IUH5.ZDH17_HUMAN",0.278327068119945,0.166695481194351,0.137191033415782,-0.175416366258628,0.0605952651640716,0.342111847452979
"9198","ZDHHC18","ZDHHC18..84243.",0.0012849356805486,0.439413955378889,0.0275901724075157,-0.170964829300548,4.75821499516527e-05,0.610378784679437,"sp.Q9NUE0.ZDH18_HUMAN",0.0978442178477621,0.268662214397005,0.84807268254911,0.0197479308442968,0.146185582868657,0.248914283552708
"9199","ZDHHC2","ZDHHC2..51201.",0.272635865086684,0.305807603429322,7.9744507712745e-05,-0.559307432524965,0.00250799101694004,0.865115035954287,"sp.Q9UIJ5.ZDHC2_HUMAN",0.153546237206293,0.320717089592358,0.481264967337393,0.0839431003447713,0.270918371637531,0.236773989247586
