"","Gene_ID","Gene_Name","AmplificationRatio"
"13144","URI1..8725.","URI1",0.0216216216216216
"13145","ZNF536..9745.","ZNF536",0.0108108108108108
"13146","TSHZ3..57616.","TSHZ3",0.0135135135135135
"13147","LINC01791..107985312.","LINC01791",0.0135135135135135
"13148","THEG5..100507527.","THEG5",0.0135135135135135
"13149","LINC01533..100996665.","LINC01533",0.0108108108108108
"13150","LINC01782..101927411.","LINC01782",0.0108108108108108
"13151","ZNF507..22847.","ZNF507",0.0108108108108108
"13152","LOC400684..400684.","LOC400684",0.0108108108108108
"13153","DPY19L3..147991.","DPY19L3",0.0108108108108108
"13154","PDCD5..9141.","PDCD5",0.0108108108108108
"13155","ANKRD27..84079.","ANKRD27",0.0108108108108108
"13156","SNORA68B..109616972.","SNORA68B",0.00810810810810811
"13157","RGS9BP..388531.","RGS9BP",0.00810810810810811
"13158","NUDT19..390916.","NUDT19",0.0108108108108108
"13159","TDRD12..91646.","TDRD12",0.0108108108108108
"13160","SLC7A9..11136.","SLC7A9",0.0108108108108108
"13161","CEP89..84902.","CEP89",0.0108108108108108
"13162","FAAP24..91442.","FAAP24",0.0108108108108108
"13163","RHPN2..85415.","RHPN2",0.0108108108108108
"13164","GPATCH1..55094.","GPATCH1",0.0135135135135135
"13165","WDR88..126248.","WDR88",0.0135135135135135
"13166","LRP3..4037.","LRP3",0.0135135135135135
"13167","SLC7A10..56301.","SLC7A10",0.0135135135135135
"13168","CEBPA..1050.","CEBPA",0.0162162162162162
"13169","CEBPA.DT..80054.","CEBPA",0.0162162162162162
"13170","CEBPG..1054.","CEBPG",0.0162162162162162
"13171","PEPD..5184.","PEPD",0.0162162162162162
"13172","CHST8..64377.","CHST8",0.0162162162162162
"13173","KCTD15..79047.","KCTD15",0.0162162162162162
"13174","LSM14A..26065.","LSM14A",0.0135135135135135
"13175","KIAA0355..9710.","KIAA0355",0.0162162162162162
"13176","GPI..2821.","GPI",0.0162162162162162
"13177","PDCD2L..84306.","PDCD2L",0.0162162162162162
"13178","UBA2..10054.","UBA2",0.0162162162162162
"13179","WTIP..126374.","WTIP",0.0162162162162162
"13180","ZNF807..100129800.","ZNF807",0.0162162162162162
"13181","SCGB1B2P..643719.","SCGB1B2P",0.0162162162162162
"13182","SCGB2B2..284402.","SCGB2B2",0.0162162162162162
"13183","SCGB2B3P..100130342.","SCGB2B3P",0.0162162162162162
"13184","ZNF302..55900.","ZNF302",0.0162162162162162
"13185","ZNF181..339318.","ZNF181",0.0189189189189189
"13186","ZNF599..148103.","ZNF599",0.0189189189189189
"13187","LINC01801..400685.","LINC01801",0.0162162162162162
"13188","LINC00904..100652909.","LINC00904",0.0135135135135135
"13189","LINC01838..100652911.","LINC01838",0.0135135135135135
"13190","ZNF30.AS1..102723513.","ZNF30",0.0135135135135135
"13191","ZNF30..90075.","ZNF30",0.0135135135135135
"13192","ZNF792..126375.","ZNF792",0.0135135135135135
"13193","GRAMD1A..57655.","GRAMD1A",0.0108108108108108
"13194","SCN1B..6324.","SCN1B",0.0108108108108108
"13195","HPN..3249.","HPN",0.0108108108108108
"13196","HPN.AS1..100128675.","HPN",0.0108108108108108
"13197","FXYD3..5349.","FXYD3",0.0108108108108108
"13198","MIR6887..102466205.","MIR6887",0.0108108108108108
"13199","LGI4..163175.","LGI4",0.0108108108108108
"13200","FXYD1..5348.","FXYD1",0.0108108108108108
"13201","FXYD7..53822.","FXYD7",0.0108108108108108
"13202","FXYD5..53827.","FXYD5",0.0108108108108108
"13203","FAM187B..148109.","FAM187B",0.0135135135135135
"13204","LSR..51599.","LSR",0.0162162162162162
"13205","USF2..7392.","USF2",0.0162162162162162
"13206","HAMP..57817.","HAMP",0.0162162162162162
"13207","MAG..4099.","MAG",0.0162162162162162
"13208","CD22..933.","CD22",0.0162162162162162
"13209","MIR5196..100847070.","MIR5196",0.0162162162162162
"13210","FFAR1..2864.","FFAR1",0.0162162162162162
"13211","FFAR3..2865.","FFAR3",0.0162162162162162
"13212","GPR42..2866.","GPR42",0.0162162162162162
"13213","LINC01531..100128682.","LINC01531",0.0162162162162162
"13214","FFAR2..2867.","FFAR2",0.0162162162162162
"13215","KRTDAP..388533.","KRTDAP",0.0162162162162162
"13216","DMKN..93099.","DMKN",0.0162162162162162
"13217","SBSN..374897.","SBSN",0.0162162162162162
"13218","GAPDHS..26330.","GAPDHS",0.0162162162162162
"13219","TMEM147.AS1..100506469.","TMEM147",0.0162162162162162
"13220","TMEM147..10430.","TMEM147",0.0162162162162162
"13221","ATP4A..495.","ATP4A",0.0162162162162162
"13222","LINC01766..102723617.","LINC01766",0.0135135135135135
"13223","HAUS5..23354.","HAUS5",0.0135135135135135
"13224","RBM42..79171.","RBM42",0.0135135135135135
"13225","ETV2..2116.","ETV2",0.0135135135135135
"13226","COX6B1..1340.","COX6B1",0.0135135135135135
"13227","UPK1A..11045.","UPK1A",0.0135135135135135
"13228","UPK1A.AS1..100862728.","UPK1A",0.0135135135135135
"13229","ZBTB32..27033.","ZBTB32",0.0135135135135135
"13230","KMT2B..9757.","KMT2B",0.0108108108108108
"13231","IGFLR1..79713.","IGFLR1",0.0108108108108108
"13232","U2AF1L4..199746.","U2AF1L4",0.0108108108108108
"13233","PSENEN..55851.","PSENEN",0.0108108108108108
"13234","LIN37..55957.","LIN37",0.0108108108108108
"13235","HSPB6..126393.","HSPB6",0.0108108108108108
"13236","PROSER3..148137.","PROSER3",0.0108108108108108
"13237","ARHGAP33..115703.","ARHGAP33",0.0108108108108108
"13238","LINC01529..644050.","LINC01529",0.0108108108108108
"13239","PRODH2..58510.","PRODH2",0.00810810810810811
"13240","NPHS1..4868.","NPHS1",0.00810810810810811
"13241","KIRREL2..84063.","KIRREL2",0.00810810810810811
"13242","APLP1..333.","APLP1",0.00810810810810811
"13243","NFKBID..84807.","NFKBID",0.00810810810810811
