"","X1","Protein_Id","Gene_Symbol","Uniprot_Acc"
"1352",1352,"sp.Q96CF2.CHM4C_HUMAN","CHMP4C","Q96CF2"
"1353",1353,"sp.Q8TEX9.2.IPO4_HUMAN","IPO4","Q8TEX9-2"
"1354",1354,"sp.Q8TF46.DI3L1_HUMAN","DIS3L","Q8TF46"
"1355",1355,"sp.O14646.CHD1_HUMAN","CHD1","O14646"
"1356",1356,"sp.O14647.CHD2_HUMAN","CHD2","O14647"
"1357",1357,"sp.Q8TD26.CHD6_HUMAN","CHD6","Q8TD26"
"1358",1358,"sp.Q5VZE5.NAA35_HUMAN","NAA35","Q5VZE5"
"1359",1359,"sp.Q9HCK8.CHD8_HUMAN","CHD8","Q9HCK8"
"1360",1360,"sp.Q9P2D1.CHD7_HUMAN","CHD7","Q9P2D1"
"1361",1361,"sp.Q3L8U1.CHD9_HUMAN","CHD9","Q3L8U1"
"1362",1362,"sp.Q9UJX2.CDC23_HUMAN","CDC23","Q9UJX2"
"1363",1363,"sp.Q15021.CND1_HUMAN","NCAPD2","Q15021"
"1364",1364,"sp.Q5SXM2.SNPC4_HUMAN","SNAPC4","Q5SXM2"
"1365",1365,"sp.Q8WZA9.IRGQ_HUMAN","IRGQ","Q8WZA9"
"1366",1366,"sp.Q9BYK8.HELZ2_HUMAN","HELZ2","Q9BYK8"
"1367",1367,"sp.Q9UQ80.PA2G4_HUMAN","PA2G4","Q9UQ80"
"1368",1368,"sp.Q8WUJ3.K1199_HUMAN","KIAA1199","Q8WUJ3"
"1369",1369,"sp.Q5JU85.2.IQEC2_HUMAN","IQSEC2","Q5JU85-2"
"1370",1370,"sp.Q6DN90.IQEC1_HUMAN","IQSEC1","Q6DN90"
"1371",1371,"sp.Q9BRD0.BUD13_HUMAN","BUD13","Q9BRD0"
"1372",1372,"sp.Q9Y3L3.3BP1_HUMAN","SH3BP1","Q9Y3L3"
"1373",1373,"sp.Q96GD0.PLPP_HUMAN","PDXP","Q96GD0"
"1374",1374,"sp.Q92738.2.US6NL_HUMAN","USP6NL","Q92738-2"
"1375",1375,"sp.Q5T0Z8.CF132_HUMAN","C6orf132","Q5T0Z8"
"1376",1376,"sp.P53804.TTC3_HUMAN","TTC3","P53804"
"1377",1377,"sp.P78371.TCPB_HUMAN","CCT2","P78371"
"1378",1378,"sp.Q709F0.ACD11_HUMAN","ACAD11","Q709F0"
"1379",1379,"sp.Q9BYJ9.YTHD1_HUMAN","YTHDF1","Q9BYJ9"
"1380",1380,"sp.Q7Z739.YTHD3_HUMAN","YTHDF3","Q7Z739"
"1381",1381,"sp.Q9Y5A9.YTHD2_HUMAN","YTHDF2","Q9Y5A9"
"1382",1382,"sp.P04049.RAF1_HUMAN","RAF1","P04049"
"1383",1383,"sp.P15056.BRAF_HUMAN","BRAF","P15056"
"1384",1384,"sp.P10398.ARAF_HUMAN","ARAF","P10398"
"1385",1385,"sp.Q5JWF2.GNAS1_HUMAN","GNAS","Q5JWF2"
"1386",1386,"sp.P50148.GNAQ_HUMAN","GNAQ","P50148"
"1387",1387,"sp.Q14344.GNA13_HUMAN","GNA13","Q14344"
"1388",1388,"sp.P63092.2.GNAS2_HUMAN","GNAS","P63092-2"
"1389",1389,"sp.P09471.GNAO_HUMAN","GNAO1","P09471"
"1390",1390,"sp.P04899.GNAI2_HUMAN","GNAI2","P04899"
"1391",1391,"sp.P29992.GNA11_HUMAN","GNA11","P29992"
"1392",1392,"sp.A8MTJ3.GNAT3_HUMAN","GNAT3","A8MTJ3"
"1393",1393,"sp.P63096.GNAI1_HUMAN","GNAI1","P63096"
"1394",1394,"sp.Q03113.GNA12_HUMAN","GNA12","Q03113"
"1395",1395,"sp.P08754.GNAI3_HUMAN","GNAI3","P08754"
"1396",1396,"sp.P19086.GNAZ_HUMAN","GNAZ","P19086"
"1397",1397,"sp.P30679.GNA15_HUMAN","GNA15","P30679"
"1398",1398,"sp.O14795.UN13B_HUMAN","UNC13B","O14795"
"1399",1399,"sp.Q8NB66.UN13C_HUMAN","UNC13C","Q8NB66"
"1400",1400,"sp.Q9UPW8.UN13A_HUMAN","UNC13A","Q9UPW8"
"1401",1401,"sp.P36269.GGT5_HUMAN","GGT5","P36269"
"1402",1402,"sp.P0CAP2.GRL1A_HUMAN","POLR2M","P0CAP2"
"1403",1403,"sp.Q86TS9.RM52_HUMAN","MRPL52","Q86TS9"
"1404",1404,"sp.P0CAP1.8.MYZAP_HUMAN","MYZAP","P0CAP1-8"
"1405",1405,"sp.Q2TAY7.SMU1_HUMAN","SMU1","Q2TAY7"
"1406",1406,"sp.Q96PK6.RBM14_HUMAN","RBM14","Q96PK6"
"1407",1407,"sp.Q9BQ04.RBM4B_HUMAN","RBM4B","Q9BQ04"
"1408",1408,"sp.Q9BWF3.RBM4_HUMAN","RBM4","Q9BWF3"
"1409",1409,"sp.Q71F23.CENPU_HUMAN","CENPU","Q71F23"
"1410",1410,"sp.Q8IYB8.SUV3_HUMAN","SUPV3L1","Q8IYB8"
"1411",1411,"sp.Q9UI10.2.EI2BD_HUMAN","EIF2B4","Q9UI10-2"
"1412",1412,"sp.Q9UI10.EI2BD_HUMAN","EIF2B4","Q9UI10"
"1413",1413,"sp.P24821.TENA_HUMAN","TNC","P24821"
"1414",1414,"sp.Q92804.RBP56_HUMAN","TAF15","Q92804"
"1415",1415,"sp.P35637.FUS_HUMAN","FUS","P35637"
"1416",1416,"sp.Q9UHB9.SRP68_HUMAN","SRP68","Q9UHB9"
"1417",1417,"sp.Q9UGY1.NOL12_HUMAN","NOL12","Q9UGY1"
"1418",1418,"sp.Q5THJ4.VP13D_HUMAN","VPS13D","Q5THJ4"
"1419",1419,"sp.Q8WV83.2.S35F5_HUMAN","SLC35F5","Q8WV83-2"
"1420",1420,"sp.Q7L211.ABHDD_HUMAN","ABHD13","Q7L211"
"1421",1421,"sp.Q6ZMI0.PPR21_HUMAN","PPP1R21","Q6ZMI0"
"1422",1422,"sp.Q15389.ANGP1_HUMAN","ANGPT1","Q15389"
"1423",1423,"sp.Q9HCE3.ZN532_HUMAN","ZNF532","Q9HCE3"
"1424",1424,"sp.Q92610.ZN592_HUMAN","ZNF592","Q92610"
"1425",1425,"sp.Q8N1G0.ZN687_HUMAN","ZNF687","Q8N1G0"
"1426",1426,"sp.Q8N556.2.AFAP1_HUMAN","AFAP1","Q8N556-2"
"1427",1427,"sp.Q8TED9.AF1L1_HUMAN","AFAP1L1","Q8TED9"
"1428",1428,"sp.Q86WT1.TT30A_HUMAN","TTC30A","Q86WT1"
"1429",1429,"sp.Q9UHW9.S12A6_HUMAN","SLC12A6","Q9UHW9"
"1430",1430,"sp.Q9UP95.S12A4_HUMAN","SLC12A4","Q9UP95"
"1431",1431,"sp.Q9H2X9.S12A5_HUMAN","SLC12A5","Q9H2X9"
"1432",1432,"sp.Q8NBN7.RDH13_HUMAN","RDH13","Q8NBN7"
"1433",1433,"sp.Q9Y666.S12A7_HUMAN","SLC12A7","Q9Y666"
"1434",1434,"sp.Q96RT8.GCP5_HUMAN","TUBGCP5","Q96RT8"
"1435",1435,"sp.P07741.APT_HUMAN","APRT","P07741"
"1436",1436,"sp.Q8N8Z6.DCBD1_HUMAN","DCBLD1","Q8N8Z6"
"1437",1437,"sp.Q9Y2W6.TDRKH_HUMAN","TDRKH","Q9Y2W6"
"1438",1438,"sp.Q8N5I2.ARRD1_HUMAN","ARRDC1","Q8N5I2"
"1439",1439,"sp.Q7Z6B0.CCD91_HUMAN","CCDC91","Q7Z6B0"
"1440",1440,"sp.Q9HCM3.K1549_HUMAN","KIAA1549","Q9HCM3"
"1441",1441,"sp.O00767.ACOD_HUMAN","SCD","O00767"
"1442",1442,"sp.Q15075.EEA1_HUMAN","EEA1","Q15075"
"1443",1443,"sp.Q8N4Y2.EFC4A_HUMAN","EFCAB4A","Q8N4Y2"
"1444",1444,"sp.Q6YHU6.THADA_HUMAN","THADA","Q6YHU6"
"1445",1445,"sp.O14744.ANM5_HUMAN","PRMT5","O14744"
"1446",1446,"sp.Q01664.TFAP4_HUMAN","TFAP4","Q01664"
"1447",1447,"sp.Q12980.NPRL3_HUMAN","NPRL3","Q12980"
"1448",1448,"sp.Q5VW38.2.GP107_HUMAN","GPR107","Q5VW38-2"
"1449",1449,"tr.G5E994.G5E994_HUMAN","GPR107","G5E994"
"1450",1450,"sp.Q02318.CP27A_HUMAN","CYP27A1","Q02318"
"1451",1451,"sp.Q9NQG6.MID51_HUMAN","MIEF1","Q9NQG6"
"1452",1452,"sp.Q96I25.SPF45_HUMAN","RBM17","Q96I25"
"1453",1453,"sp.O43663.PRC1_HUMAN","PRC1","O43663"
"1454",1454,"sp.P43487.RANG_HUMAN","RANBP1","P43487"
"1455",1455,"sp.P04114.APOB_HUMAN","APOB","P04114"
"1456",1456,"sp.Q9UPN4.AZI1_HUMAN","AZI1","Q9UPN4"
"1457",1457,"sp.O60645.3.EXOC3_HUMAN","EXOC3","O60645-3"
"1458",1458,"sp.Q96DI7.SNR40_HUMAN","SNRNP40","Q96DI7"
"1459",1459,"sp.O00192.ARVC_HUMAN","ARVCF","O00192"
"1460",1460,"sp.Q9NTJ3.SMC4_HUMAN","SMC4","Q9NTJ3"
"1461",1461,"sp.P19827.ITIH1_HUMAN","ITIH1","P19827"
"1462",1462,"sp.Q7Z3J2.CP062_HUMAN","C16orf62","Q7Z3J2"
"1463",1463,"sp.O00534.VMA5A_HUMAN","VWA5A","O00534"
"1464",1464,"sp.Q9H2G9.GO45_HUMAN","BLZF1","Q9H2G9"
"1465",1465,"sp.Q96JN8.NEUL4_HUMAN","NEURL4","Q96JN8"
"1466",1466,"sp.P30273.FCERG_HUMAN","FCER1G","P30273"
"1467",1467,"sp.Q9UNX4.WDR3_HUMAN","WDR3","Q9UNX4"
"1468",1468,"sp.Q8NBJ9.2.SIDT2_HUMAN","SIDT2","Q8NBJ9-2"
"1469",1469,"sp.Q969Q5.RAB24_HUMAN","RAB24","Q969Q5"
"1470",1470,"sp.O00339.MATN2_HUMAN","MATN2","O00339"
"1471",1471,"sp.O43567.RNF13_HUMAN","RNF13","O43567"
"1472",1472,"sp.O95258.UCP5_HUMAN","SLC25A14","O95258"
"1473",1473,"sp.Q5SVS4.KMCP1_HUMAN","SLC25A30","Q5SVS4"
"1474",1474,"sp.Q6PCB7.S27A1_HUMAN","SLC27A1","Q6PCB7"
"1475",1475,"sp.Q6P1M0.S27A4_HUMAN","SLC27A4","Q6P1M0"
"1476",1476,"sp.Q7Z417.NUFP2_HUMAN","NUFIP2","Q7Z417"
"1477",1477,"sp.Q96AT1.K1143_HUMAN","KIAA1143","Q96AT1"
"1478",1478,"sp.P30041.PRDX6_HUMAN","PRDX6","P30041"
"1479",1479,"sp.Q9HA77.SYCM_HUMAN","CARS2","Q9HA77"
"1480",1480,"sp.Q92522.H1X_HUMAN","H1FX","Q92522"
"1481",1481,"sp.P48382.RFX5_HUMAN","RFX5","P48382"
"1482",1482,"sp.Q2KHR2.RFX7_HUMAN","RFX7","Q2KHR2"
"1483",1483,"sp.O60266.ADCY3_HUMAN","ADCY3","O60266"
"1484",1484,"sp.Q8NC74.RB8NL_HUMAN","RBBP8NL","Q8NC74"
"1485",1485,"sp.P50479.PDLI4_HUMAN","PDLIM4","P50479"
"1486",1486,"sp.A6NKD9.CC85C_HUMAN","CCDC85C","A6NKD9"
"1487",1487,"sp.P15144.AMPN_HUMAN","ANPEP","P15144"
"1488",1488,"sp.O95834.3.EMAL2_HUMAN","EML2","O95834-3"
"1489",1489,"sp.Q6ZMW3.2.EMAL6_HUMAN","EML6","Q6ZMW3-2"
"1490",1490,"sp.O00423.3.EMAL1_HUMAN","EML1","O00423-3"
"1491",1491,"sp.Q05BV3.5.EMAL5_HUMAN","EML5","Q05BV3-5"
"1492",1492,"sp.Q9HC35.EMAL4_HUMAN","EML4","Q9HC35"
"1493",1493,"tr.B5MBZ0.B5MBZ0_HUMAN","EML4","B5MBZ0"
"1494",1494,"sp.Q9H1K1.ISCU_HUMAN","ISCU","Q9H1K1"
"1495",1495,"sp.Q32P44.EMAL3_HUMAN","EML3","Q32P44"
"1496",1496,"sp.Q9Y4F1.FARP1_HUMAN","FARP1","Q9Y4F1"
"1497",1497,"sp.O94887.FARP2_HUMAN","FARP2","O94887"
"1498",1498,"tr.H7C3M7.H7C3M7_HUMAN","FARP2","H7C3M7"
"1499",1499,"sp.Q96SY0.VWA9_HUMAN","VWA9","Q96SY0"
"1500",1500,"sp.Q14195.2.DPYL3_HUMAN","DPYSL3","Q14195-2"
"1501",1501,"sp.Q16555.2.DPYL2_HUMAN","DPYSL2","Q16555-2"
"1502",1502,"sp.Q14194.2.DPYL1_HUMAN","CRMP1","Q14194-2"
"1503",1503,"sp.O14531.DPYL4_HUMAN","DPYSL4","O14531"
"1504",1504,"sp.O95271.TNKS1_HUMAN","TNKS","O95271"
"1505",1505,"sp.Q9H2K2.TNKS2_HUMAN","TNKS2","Q9H2K2"
"1506",1506,"sp.Q15102.PA1B3_HUMAN","PAFAH1B3","Q15102"
"1507",1507,"sp.O15049.N4BP3_HUMAN","N4BP3","O15049"
"1508",1508,"sp.A6NKN8.PC4L1_HUMAN","PCP4L1","A6NKN8"
"1509",1509,"sp.Q6PJ61.FBX46_HUMAN","FBXO46","Q6PJ61"
"1510",1510,"sp.O00151.PDLI1_HUMAN","PDLIM1","O00151"
"1511",1511,"sp.Q13428.4.TCOF_HUMAN","TCOF1","Q13428-4"
"1512",1512,"sp.Q13428.7.TCOF_HUMAN","TCOF1","Q13428-7"
"1513",1513,"sp.Q8IVF2.AHNK2_HUMAN","AHNAK2","Q8IVF2"
"1514",1514,"sp.Q09666.AHNK_HUMAN","AHNAK","Q09666"
"1515",1515,"sp.P48552.NRIP1_HUMAN","NRIP1","P48552"
"1516",1516,"sp.Q09666.2.AHNK_HUMAN","AHNAK","Q09666-2"
"1517",1517,"sp.Q9Y240.CLC11_HUMAN","CLEC11A","Q9Y240"
"1518",1518,"sp.O43155.FLRT2_HUMAN","FLRT2","O43155"
"1519",1519,"sp.Q6ZMZ3.SYNE3_HUMAN","SYNE3","Q6ZMZ3"
"1520",1520,"sp.P20248.CCNA2_HUMAN","CCNA2","P20248"
"1521",1521,"sp.P78396.CCNA1_HUMAN","CCNA1","P78396"
"1522",1522,"sp.O43747.AP1G1_HUMAN","AP1G1","O43747"
"1523",1523,"sp.O75843.AP1G2_HUMAN","AP1G2","O75843"
"1524",1524,"sp.P54920.SNAA_HUMAN","NAPA","P54920"
"1525",1525,"sp.Q9H115.SNAB_HUMAN","NAPB","Q9H115"
"1526",1526,"sp.Q9NZC9.SMAL1_HUMAN","SMARCAL1","Q9NZC9"
"1527",1527,"sp.Q68EM7.5.RHG17_HUMAN","ARHGAP17","Q68EM7-5"
"1528",1528,"sp.Q68EM7.2.RHG17_HUMAN","ARHGAP17","Q68EM7-2"
"1529",1529,"sp.P15428.PGDH_HUMAN","HPGD","P15428"
"1530",1530,"sp.Q8N6N6.GTL3B_HUMAN","GTLF3B","Q8N6N6"
"1531",1531,"sp.O75581.LRP6_HUMAN","LRP6","O75581"
"1532",1532,"sp.O75197.LRP5_HUMAN","LRP5","O75197"
"1533",1533,"sp.Q07954.LRP1_HUMAN","LRP1","Q07954"
"1534",1534,"sp.Q9NZR2.LRP1B_HUMAN","LRP1B","Q9NZR2"
"1535",1535,"sp.P09417.DHPR_HUMAN","QDPR","P09417"
"1536",1536,"sp.Q96RU2.2.UBP28_HUMAN","USP28","Q96RU2-2"
"1537",1537,"sp.Q8NFW8.NEUA_HUMAN","CMAS","Q8NFW8"
"1538",1538,"sp.Q9NRD1.FBX6_HUMAN","FBXO6","Q9NRD1"
"1539",1539,"sp.Q9H4M3.FBX44_HUMAN","FBXO44","Q9H4M3"
"1540",1540,"sp.Q9H4M3.2.FBX44_HUMAN","FBXO44","Q9H4M3-2"
"1541",1541,"sp.O95873.CF047_HUMAN","C6orf47","O95873"
"1542",1542,"sp.Q86UK7.3.ZN598_HUMAN","ZNF598","Q86UK7-3"
"1543",1543,"tr.H3BQQ2.H3BQQ2_HUMAN","ZNF598","H3BQQ2"
"1544",1544,"sp.P11766.ADHX_HUMAN","ADH5","P11766"
"1545",1545,"sp.P46019.KPB2_HUMAN","PHKA2","P46019"
"1546",1546,"sp.P46020.2.KPB1_HUMAN","PHKA1","P46020-2"
"1547",1547,"sp.P34897.GLYM_HUMAN","SHMT2","P34897"
"1548",1548,"sp.P34896.GLYC_HUMAN","SHMT1","P34896"
"1549",1549,"sp.O15061.SYNEM_HUMAN","SYNM","O15061"
"1550",1550,"tr.C9JIE4.C9JIE4_HUMAN","SYNM","C9JIE4"
"1551",1551,"sp.Q12788.TBL3_HUMAN","TBL3","Q12788"
"1552",1552,"sp.O95319.CELF2_HUMAN","CELF2","O95319"
"1553",1553,"tr.E9PC62.E9PC62_HUMAN","CELF2","E9PC62"
"1554",1554,"tr.G5EA30.G5EA30_HUMAN","CELF1","G5EA30"
"1555",1555,"sp.P52815.RM12_HUMAN","MRPL12","P52815"
"1556",1556,"sp.Q9UBX3.2.DIC_HUMAN","SLC25A10","Q9UBX3-2"
"1557",1557,"sp.Q9UJX6.ANC2_HUMAN","ANAPC2","Q9UJX6"
"1558",1558,"sp.Q8NB16.MLKL_HUMAN","MLKL","Q8NB16"
"1559",1559,"sp.Q6ZNB6.NFXL1_HUMAN","NFXL1","Q6ZNB6"
"1560",1560,"sp.Q8N137.2.CNTRB_HUMAN","CNTROB","Q8N137-2"
"1561",1561,"sp.Q96FS4.SIPA1_HUMAN","SIPA1","Q96FS4"
"1562",1562,"sp.Q92922.SMRC1_HUMAN","SMARCC1","Q92922"
"1563",1563,"sp.Q9UL12.SARDH_HUMAN","SARDH","Q9UL12"
"1564",1564,"sp.Q8TAQ2.SMRC2_HUMAN","SMARCC2","Q8TAQ2"
"1565",1565,"sp.Q8TAQ2.3.SMRC2_HUMAN","SMARCC2","Q8TAQ2-3"
"1566",1566,"sp.Q96CW5.GCP3_HUMAN","TUBGCP3","Q96CW5"
"1567",1567,"sp.P12081.SYHC_HUMAN","HARS","P12081"
"1568",1568,"sp.P49590.SYHM_HUMAN","HARS2","P49590"
"1569",1569,"tr.F8WB05.F8WB05_HUMAN","ATXN2","F8WB05"
"1570",1570,"sp.Q8WWM7.ATX2L_HUMAN","ATXN2L","Q8WWM7"
"1571",1571,"sp.Q99700.ATX2_HUMAN","ATXN2","Q99700"
"1572",1572,"sp.Q15057.ACAP2_HUMAN","ACAP2","Q15057"
"1573",1573,"sp.Q15027.ACAP1_HUMAN","ACAP1","Q15027"
"1574",1574,"sp.Q96P50.ACAP3_HUMAN","ACAP3","Q96P50"
"1575",1575,"sp.Q9H0D6.XRN2_HUMAN","XRN2","Q9H0D6"
"1576",1576,"sp.P78549.NTHL1_HUMAN","NTHL1","P78549"
"1577",1577,"sp.Q71SY5.4.MED25_HUMAN","MED25","Q71SY5-4"
"1578",1578,"sp.Q9BTX1.NDC1_HUMAN","NDC1","Q9BTX1"
"1579",1579,"sp.Q86YD1.PTOV1_HUMAN","PTOV1","Q86YD1"
"1580",1580,"sp.Q9NRV9.HEBP1_HUMAN","HEBP1","Q9NRV9"
"1581",1581,"sp.Q13049.TRI32_HUMAN","TRIM32","Q13049"
"1582",1582,"sp.O14967.CLGN_HUMAN","CLGN","O14967"
"1583",1583,"sp.P27824.CALX_HUMAN","CANX","P27824"
"1584",1584,"sp.Q8TF21.2.ANR24_HUMAN","ANKRD24","Q8TF21-2"
"1585",1585,"sp.P09601.HMOX1_HUMAN","HMOX1","P09601"
"1586",1586,"sp.Q92797.SYMPK_HUMAN","SYMPK","Q92797"
"1587",1587,"sp.Q14134.TRI29_HUMAN","TRIM29","Q14134"
"1588",1588,"tr.H0YF27.H0YF27_HUMAN","TRIM29","H0YF27"
"1589",1589,"sp.O14578.4.CTRO_HUMAN","CIT","O14578-4"
"1590",1590,"sp.O14578.3.CTRO_HUMAN","CIT","O14578-3"
"1591",1591,"sp.P13612.ITA4_HUMAN","ITGA4","P13612"
"1592",1592,"sp.Q7Z412.PEX26_HUMAN","PEX26","Q7Z412"
"1593",1593,"sp.Q8IWT3.CUL9_HUMAN","CUL9","Q8IWT3"
"1594",1594,"sp.Q14999.2.CUL7_HUMAN","CUL7","Q14999-2"
"1595",1595,"sp.Q53GL7.PAR10_HUMAN","PARP10","Q53GL7"
"1596",1596,"sp.Q9BRX8.F213A_HUMAN","FAM213A","Q9BRX8"
"1597",1597,"sp.Q8TDN2.KCNV2_HUMAN","KCNV2","Q8TDN2"
"1598",1598,"sp.Q12872.2.SFSWA_HUMAN","SFSWAP","Q12872-2"
"1599",1599,"sp.Q15024.EXOS7_HUMAN","EXOSC7","Q15024"
"1600",1600,"sp.P42684.ABL2_HUMAN","ABL2","P42684"
"1601",1601,"sp.P00519.2.ABL1_HUMAN","ABL1","P00519-2"
"1602",1602,"sp.Q02833.2.RASF7_HUMAN","RASSF7","Q02833-2"
"1603",1603,"sp.P33121.ACSL1_HUMAN","ACSL1","P33121"
"1604",1604,"sp.Q9ULC5.3.ACSL5_HUMAN","ACSL5","Q9ULC5-3"
"1605",1605,"sp.Q9UKU0.9.ACSL6_HUMAN","ACSL6","Q9UKU0-9"
"1606",1606,"sp.O75420.PERQ1_HUMAN","GIGYF1","O75420"
"1607",1607,"sp.Q9NRA8.3.4ET_HUMAN","EIF4ENIF1","Q9NRA8-3"
"1608",1608,"sp.O75665.OFD1_HUMAN","OFD1","O75665"
"1609",1609,"sp.Q99986.VRK1_HUMAN","VRK1","Q99986"
"1610",1610,"sp.Q92932.3.PTPR2_HUMAN","PTPRN2","Q92932-3"
"1611",1611,"sp.Q4V9L6.TM119_HUMAN","TMEM119","Q4V9L6"
"1612",1612,"sp.Q14129.DGCR6_HUMAN","DGCR6","Q14129"
"1613",1613,"sp.Q9BY27.DGC6L_HUMAN","DGCR6L","Q9BY27"
"1614",1614,"sp.P30613.KPYR_HUMAN","PKLR","P30613"
"1615",1615,"sp.P14618.KPYM_HUMAN","PKM","P14618"
"1616",1616,"tr.H3BTN5.H3BTN5_HUMAN","PKM","H3BTN5"
"1617",1617,"sp.O95294.4.RASL1_HUMAN","RASAL1","O95294-4"
"1618",1618,"sp.O43374.RASL2_HUMAN","RASA4","O43374"
"1619",1619,"sp.P52435.RPB11_HUMAN","POLR2J","P52435"
"1620",1620,"sp.B0FP48.UPK3L_HUMAN","UPK3BL","B0FP48"
"1621",1621,"sp.P11172.UMPS_HUMAN","UMPS","P11172"
"1622",1622,"sp.P38935.SMBP2_HUMAN","IGHMBP2","P38935"
"1623",1623,"sp.P18615.NELFE_HUMAN","NELFE","P18615"
"1624",1624,"sp.O95382.M3K6_HUMAN","MAP3K6","O95382"
"1625",1625,"sp.Q99683.M3K5_HUMAN","MAP3K5","Q99683"
"1626",1626,"sp.Q9C0A6.SETD5_HUMAN","SETD5","Q9C0A6"
"1627",1627,"sp.Q8IZD2.5.KMT2E_HUMAN","KMT2E","Q8IZD2-5"
"1628",1628,"sp.P22570.7.ADRO_HUMAN","FDXR","P22570-7"
"1629",1629,"sp.O75971.SNPC5_HUMAN","SNAPC5","O75971"
"1630",1630,"sp.P49788.TIG1_HUMAN","RARRES1","P49788"
"1631",1631,"sp.P41227.NAA10_HUMAN","NAA10","P41227"
"1632",1632,"sp.Q9BSU3.NAA11_HUMAN","NAA11","Q9BSU3"
"1633",1633,"sp.Q8NDH3.PEPL1_HUMAN","NPEPL1","Q8NDH3"
"1634",1634,"sp.Q86V59.PNML1_HUMAN","PNMAL1","Q86V59"
"1635",1635,"sp.Q9H0L4.CSTFT_HUMAN","CSTF2T","Q9H0L4"
"1636",1636,"sp.P33240.CSTF2_HUMAN","CSTF2","P33240"
"1637",1637,"sp.O95772.2.MENTO_HUMAN","STARD3NL","O95772-2"
"1638",1638,"sp.Q9UKF6.CPSF3_HUMAN","CPSF3","Q9UKF6"
"1639",1639,"sp.Q9Y5V0.ZN706_HUMAN","ZNF706","Q9Y5V0"
"1640",1640,"sp.Q14318.2.FKBP8_HUMAN","FKBP8","Q14318-2"
"1641",1641,"tr.J3KQ73.J3KQ73_HUMAN","FKBP8","J3KQ73"
"1642",1642,"sp.Q9H0S4.DDX47_HUMAN","DDX47","Q9H0S4"
"1643",1643,"sp.Q96MW1.CCD43_HUMAN","CCDC43","Q96MW1"
"1644",1644,"sp.O00401.WASL_HUMAN","WASL","O00401"
"1645",1645,"sp.Q9C0C9.UBE2O_HUMAN","UBE2O","Q9C0C9"
"1646",1646,"sp.Q13813.2.SPTN1_HUMAN","SPTAN1","Q13813-2"
"1647",1647,"sp.Q13813.3.SPTN1_HUMAN","SPTAN1","Q13813-3"
"1648",1648,"sp.P78346.2.RPP30_HUMAN","RPP30","P78346-2"
"1649",1649,"sp.P43362.MAGA9_HUMAN","MAGEA9","P43362"
"1650",1650,"sp.P43361.MAGA8_HUMAN","MAGEA8","P43361"
"1651",1651,"sp.P43355.MAGA1_HUMAN","MAGEA1","P43355"
"1652",1652,"sp.O60732.MAGC1_HUMAN","MAGEC1","O60732"
"1653",1653,"sp.P43358.MAGA4_HUMAN","MAGEA4","P43358"
"1654",1654,"sp.P43356.MAGA2_HUMAN","MAGEA2","P43356"
"1655",1655,"sp.P43360.MAGA6_HUMAN","MAGEA6","P43360"
"1656",1656,"sp.P43357.MAGA3_HUMAN","MAGEA3","P43357"
"1657",1657,"sp.P43365.MAGAC_HUMAN","MAGEA12","P43365"
"1658",1658,"sp.Q9UBF1.MAGC2_HUMAN","MAGEC2","Q9UBF1"
"1659",1659,"sp.O15479.MAGB2_HUMAN","MAGEB2","O15479"
"1660",1660,"sp.P43366.MAGB1_HUMAN","MAGEB1","P43366"
"1661",1661,"sp.O15481.MAGB4_HUMAN","MAGEB4","O15481"
"1662",1662,"sp.P43363.MAGAA_HUMAN","MAGEA10","P43363"
"1663",1663,"sp.P08476.INHBA_HUMAN","INHBA","P08476"
"1664",1664,"sp.P54826.GAS1_HUMAN","GAS1","P54826"
"1665",1665,"sp.P07814.SYEP_HUMAN","EPRS","P07814"
"1666",1666,"sp.P47897.SYQ_HUMAN","QARS","P47897"
"1667",1667,"sp.P0C7T5.ATX1L_HUMAN","ATXN1L","P0C7T5"
"1668",1668,"sp.Q8ND30.LIPB2_HUMAN","PPFIBP2","Q8ND30"
"1669",1669,"sp.Q86W92.2.LIPB1_HUMAN","PPFIBP1","Q86W92-2"
"1670",1670,"sp.Q86W92.3.LIPB1_HUMAN","PPFIBP1","Q86W92-3"
"1671",1671,"sp.P51587.BRCA2_HUMAN","BRCA2","P51587"
"1672",1672,"sp.Q6ZVK8.NUD18_HUMAN","NUDT18","Q6ZVK8"
"1673",1673,"sp.P34059.GALNS_HUMAN","GALNS","P34059"
"1674",1674,"sp.P15289.ARSA_HUMAN","ARSA","P15289"
"1675",1675,"sp.Q96M86.DNHD1_HUMAN","DNHD1","Q96M86"
"1676",1676,"sp.P17181.INAR1_HUMAN","IFNAR1","P17181"
"1677",1677,"sp.Q99959.2.PKP2_HUMAN","PKP2","Q99959-2"
"1678",1678,"sp.Q9NX02.NALP2_HUMAN","NLRP2","Q9NX02"
"1679",1679,"sp.Q14005.IL16_HUMAN","IL16","Q14005"
"1680",1680,"sp.Q969F9.HPS3_HUMAN","HPS3","Q969F9"
"1681",1681,"sp.Q9P287.2.BCCIP_HUMAN","BCCIP","Q9P287-2"
"1682",1682,"sp.Q9P287.BCCIP_HUMAN","BCCIP","Q9P287"
"1683",1683,"sp.Q3ZAQ7.VMA21_HUMAN","VMA21","Q3ZAQ7"
"1684",1684,"sp.Q8N0Z3.SPICE_HUMAN","SPICE1","Q8N0Z3"
