"","X1","Protein_Id","Gene_Symbol","Uniprot_Acc"
"6253",6253,"sp.Q6IQ19.CCSAP_HUMAN","CCSAP","Q6IQ19"
"6254",6254,"sp.P49005.DPOD2_HUMAN","POLD2","P49005"
"6255",6255,"sp.Q8TCC3.2.RM30_HUMAN","MRPL30","Q8TCC3-2"
"6256",6256,"sp.P11836.CD20_HUMAN","MS4A1","P11836"
"6257",6257,"sp.Q9BVW5.TIPIN_HUMAN","TIPIN","Q9BVW5"
"6258",6258,"tr.B4DRN7.B4DRN7_HUMAN","C2CD5","B4DRN7"
"6259",6259,"sp.Q16851.UGPA_HUMAN","UGP2","Q16851"
"6260",6260,"sp.P03905.NU4M_HUMAN","MT-ND4","P03905"
"6261",6261,"sp.Q8N9N7.LRC57_HUMAN","LRRC57","Q8N9N7"
"6262",6262,"sp.O60216.RAD21_HUMAN","RAD21","O60216"
"6263",6263,"sp.Q9ULD2.MTUS1_HUMAN","MTUS1","Q9ULD2"
"6264",6264,"sp.Q9BTE3.MCMBP_HUMAN","MCMBP","Q9BTE3"
"6265",6265,"sp.P41182.BCL6_HUMAN","BCL6","P41182"
"6266",6266,"sp.Q8N8Q3.3.ENDOV_HUMAN","ENDOV","Q8N8Q3-3"
"6267",6267,"sp.Q9Y6B7.AP4B1_HUMAN","AP4B1","Q9Y6B7"
"6268",6268,"sp.Q93091.RNAS6_HUMAN","RNASE6","Q93091"
"6269",6269,"sp.Q92990.GLMN_HUMAN","GLMN","Q92990"
"6270",6270,"sp.P02675.FIBB_HUMAN","FGB","P02675"
"6271",6271,"sp.Q86VE0.MYPOP_HUMAN","MYPOP","Q86VE0"
"6272",6272,"sp.Q15475.SIX1_HUMAN","SIX1","Q15475"
"6273",6273,"sp.Q9NPC8.SIX2_HUMAN","SIX2","Q9NPC8"
"6274",6274,"sp.Q9H4I3.TRABD_HUMAN","TRABD","Q9H4I3"
"6275",6275,"sp.Q8TAA5.GRPE2_HUMAN","GRPEL2","Q8TAA5"
"6276",6276,"tr.Q5LJA0.Q5LJA0_HUMAN","TROVE2","Q5LJA0"
"6277",6277,"tr.G5E9R9.G5E9R9_HUMAN","TROVE2","G5E9R9"
"6278",6278,"sp.Q9NXA8.SIR5_HUMAN","SIRT5","Q9NXA8"
"6279",6279,"sp.Q8WUD4.CCD12_HUMAN","CCDC12","Q8WUD4"
"6280",6280,"sp.Q9H0F6.SHRPN_HUMAN","SHARPIN","Q9H0F6"
"6281",6281,"sp.Q8N4N3.KLH36_HUMAN","KLHL36","Q8N4N3"
"6282",6282,"sp.Q96M27.2.PRRC1_HUMAN","PRRC1","Q96M27-2"
"6283",6283,"sp.Q9BQG2.NUD12_HUMAN","NUDT12","Q9BQG2"
"6284",6284,"sp.P32320.CDD_HUMAN","CDA","P32320"
"6285",6285,"sp.Q6N069.NAA16_HUMAN","NAA16","Q6N069"
"6286",6286,"sp.Q9BXJ9.NAA15_HUMAN","NAA15","Q9BXJ9"
"6287",6287,"sp.Q9C0D2.3.K1731_HUMAN","KIAA1731","Q9C0D2-3"
"6288",6288,"sp.Q99633.PRP18_HUMAN","PRPF18","Q99633"
"6289",6289,"sp.Q96EQ0.SGTB_HUMAN","SGTB","Q96EQ0"
"6290",6290,"sp.Q92615.LAR4B_HUMAN","LARP4B","Q92615"
"6291",6291,"sp.Q71RC2.4.LARP4_HUMAN","LARP4","Q71RC2-4"
"6292",6292,"tr.H0Y4V9.H0Y4V9_HUMAN","LARP4B","H0Y4V9"
"6293",6293,"sp.P15848.ARSB_HUMAN","ARSB","P15848"
"6294",6294,"sp.Q5FYB1.ARSI_HUMAN","ARSI","Q5FYB1"
"6295",6295,"sp.Q9BZJ0.CRNL1_HUMAN","CRNKL1","Q9BZJ0"
"6296",6296,"sp.A6NI72.NCF1B_HUMAN","NCF1B","A6NI72"
"6297",6297,"sp.Q96AJ1.CLUA1_HUMAN","CLUAP1","Q96AJ1"
"6298",6298,"sp.Q05209.PTN12_HUMAN","PTPN12","Q05209"
"6299",6299,"sp.P08473.NEP_HUMAN","MME","P08473"
"6300",6300,"sp.P42694.HELZ_HUMAN","HELZ","P42694"
"6301",6301,"sp.Q96BI1.S22AI_HUMAN","SLC22A18","Q96BI1"
"6302",6302,"sp.Q9Y6R1.S4A4_HUMAN","SLC4A4","Q9Y6R1"
"6303",6303,"sp.Q2Y0W8.S4A8_HUMAN","SLC4A8","Q2Y0W8"
"6304",6304,"sp.Q9Y6M7.13.S4A7_HUMAN","SLC4A7","Q9Y6M7-13"
"6305",6305,"sp.Q9Y6M7.S4A7_HUMAN","SLC4A7","Q9Y6M7"
"6306",6306,"sp.Q9C035.TRIM5_HUMAN","TRIM5","Q9C035"
"6307",6307,"tr.B2RNG4.B2RNG4_HUMAN","TRIM6-TRIM34","B2RNG4"
"6308",6308,"sp.Q6U841.S4A10_HUMAN","SLC4A10","Q6U841"
"6309",6309,"sp.Q9UL18.AGO1_HUMAN","AGO1","Q9UL18"
"6310",6310,"sp.Q9UKV8.AGO2_HUMAN","AGO2","Q9UKV8"
"6311",6311,"sp.Q9H9G7.AGO3_HUMAN","AGO3","Q9H9G7"
"6312",6312,"sp.Q9HCK5.AGO4_HUMAN","AGO4","Q9HCK5"
"6313",6313,"sp.P35670.ATP7B_HUMAN","ATP7B","P35670"
"6314",6314,"sp.Q04656.3.ATP7A_HUMAN","ATP7A","Q04656-3"
"6315",6315,"sp.O43808.PM34_HUMAN","SLC25A17","O43808"
"6316",6316,"sp.P28062.PSB8_HUMAN","PSMB8","P28062"
"6317",6317,"sp.Q9H977.WDR54_HUMAN","WDR54","Q9H977"
"6318",6318,"sp.P40925.3.MDHC_HUMAN","MDH1","P40925-3"
"6319",6319,"sp.Q92834.RPGR_HUMAN","RPGR","Q92834"
"6320",6320,"sp.Q92834.6.RPGR_HUMAN","RPGR","Q92834-6"
"6321",6321,"sp.Q9UHW5.2.GPN3_HUMAN","GPN3","Q9UHW5-2"
