"","RNA_Name","RNA_ID.x","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss","RNA_ID.y","RNA_ID.All","Variance.noAn","Variance.Mean.noAn","Variance.All","St.Dev.noAn","St.Dev.All","Chrm.Num.Arm","RNA_num"
"2856","FGD6","FGD6..55785.",0.115756164927062,0.33887639583232,0.00930693123660479,-0.377976148590252,0.00310769965064256,0.716852544422572,"sp.Q6ZV73.FGD6_HUMAN",0.0581546615859081,0.365160262188612,0.322139774359848,-0.11475634303101,0.0196170744066778,0.479916605219622,"Scaling","Scaling","Scaling","Buffering","FGD6","FGD6",1.51634809940367,0.6435492610962,1.4190340022198,1.23140086868723,1.19123213615978,"12q","FGD6"
"2857","FGF2","FGF2..2247.",0.570036005073172,0.352710759256009,0.552350177309686,-0.112695047898967,0.454719489280846,0.465405807154975,"sp.P09038.FGF2_HUMAN",0.4621619136742,0.452807884391992,0.119634240986259,-0.360913259315784,0.205792787483687,0.813721143707776,"Scaling","Buffering","Scaling","Scaling","FGF2","FGF2",3.62581437286198,1.87291486230891,3.23343983022567,1.90415712924695,1.7981768072761,"4q","FGF2"
"2858","FGFR1","FGFR1..2260.",0.911330586878215,0.0517859690717017,0.0446169510025783,-0.482775369093884,0.243496407604867,0.534561338165586,"sp.P11362.21.FGFR1_HUMAN",0.741403977105993,0.0870610948692601,0.236962349418268,-0.163154545470506,0.33348884550738,0.250215640339766,"Buffering","Scaling","Buffering","Buffering","FGFR1","FGFR1",5.17501719193095,1.21553497853558,4.81649181385113,2.27486641188685,2.19465072707507,"8p","FGFR1"
"2861","FGFR2","FGFR2..2263.",0.165367467054598,0.731065986490208,0.700660637547909,-0.0978934182744262,0.136680065085045,0.828959404764634,"sp.P21802.11.FGFR2_HUMAN",0.761109865784099,0.143928486412942,0.120351136649975,0.392727192872923,0.617595528239253,-0.248798706459981,"Scaling","Buffering","Buffering","Anti-Scaling","FGFR2","FGFR2",3.70860749530935,1.92987602206376,4.33386855067502,1.9257745182937,2.08179455054408,"10q","FGFR2"
"2863","FGL2","FGL2..10875.",0.269248750342101,0.112396456332406,0.0134502155344399,-0.131090749538279,0.0099720115223409,0.243487205870685,"sp.Q14314.FGL2_HUMAN",0.759623496672518,-0.0923158562005347,0.491050602104986,-0.24238670423749,0.69454230922334,0.150070848036955,"Buffering","Buffering","Buffering","Buffering","FGL2","FGL2",0.431283875327023,2.02673341876699,0.561565529777675,0.656722068554897,0.749376760900467,"7q","FGL2"
"2865","FHIT","FHIT..2272.",0.669101948913825,-0.117001514695965,3.54053536525098e-06,-0.514547383333254,0.158960622941863,0.397545868637289,"sp.P49789.FHIT_HUMAN",0.300283450676974,0.341553591764074,2.40541157969978e-05,-0.651804488757339,0.00659817679512264,0.993358080521413,"Anti-Scaling","Scaling","Scaling","Scaling","FHIT","FHIT",1.1090458064129,0.680058249778807,1.09941802854771,1.05311243768788,1.04853136746008,"3p","FHIT"
"2866","FHL2","FHL2..2274.",0.0762824743093735,0.584009048949177,0.0208838670725351,0.652490928316644,0.856581533098162,-0.0684818793674671,"tr.J3KNW4.J3KNW4_HUMAN",0.300013082774133,0.235381055001305,0.0184879765811295,0.475320402261004,0.376560784996435,-0.239939347259699,"Scaling","Anti-Scaling","Buffering","Anti-Scaling","FHL2","FHL2",5.2524173919756,0.999166367104751,4.8126235259964,2.29181530494401,2.19376925085488,"2q","FHL2"
"2872","FILIP1","FILIP1..27145.",0.476405925786833,0.200246100874068,0.277199306914706,-0.0834516069522587,0.315578287887867,0.283697707826327,"sp.Q7Z7B0.FLIP1_HUMAN",0.755748235218417,-0.118111486770914,0.884498947578026,-0.0338452206203054,0.836945406884305,-0.0842662661506088,"Buffering","Buffering","Anti-Scaling","Buffering","FILIP1","FILIP1",0.627193240969402,1.68886767985973,0.592392331102593,0.791955327634963,0.769670274275026,"6q","FILIP1"
"2873","FILIP1L","FILIP1L..11259.",0.825229587094872,-0.0479473459032613,0.496863686867546,0.185587091721828,0.463133370878988,-0.233534437625089,"sp.Q4L180.2.FIL1L_HUMAN",0.420932178148814,-0.163624950937594,0.386462255913896,0.251512790885752,0.196801768308764,-0.415137741823346,"Buffering","Anti-Scaling","Anti-Scaling","Anti-Scaling","FILIP1L","FILIP1L",2.49581285387351,1.69296292403942,2.57627468359643,1.57981418333724,1.60507778116714,"3q","FILIP1L"
"2878","FKBP10","FKBP10..60681.",0.356210155244201,0.34449750451238,0.78827042475607,-0.107832036687288,0.361893204347795,0.452329541199668,"sp.Q96AY3.FKB10_HUMAN",0.204771945277084,0.239094132541788,0.926410087231846,0.0181622144646745,0.367288378384081,0.220931918077113,"Scaling","Buffering","Buffering","Buffering","FKBP10","FKBP10",7.02249757392506,1.30932477653011,6.8332990922875,2.64999954224997,2.61405797416345,"17q","FKBP10"
